dates,files,dates,datesstring,mean temperature (celsius),cloudcover (0-1)
2020-06-13,LC08_198024_20200613.tif,2020-06-13,2020/06/13,28.219066619873047,0.36226407628694657
2020-06-20,LC08_199024_20200620.tif,2020-06-20,2020/06/20,23.988182067871094,0.7909198222081536
2020-06-29,LC08_198024_20200629.tif,2020-06-29,2020/06/29,,1.0
2020-07-06,LC08_199024_20200706.tif,2020-07-06,2020/07/06,22.17745590209961,0.6733272662525225
2020-07-15,LC08_198024_20200715.tif,2020-07-15,2020/07/15,23.309062957763672,0.6797702422875532
2020-07-22,LC08_199024_20200722.tif,2020-07-22,2020/07/22,21.541902542114258,0.7922057795539377
2020-07-31,LC08_198024_20200731.tif,2020-07-31,2020/07/31,36.32884979248047,0.014669805721520992
2020-08-07,LC08_199024_20200807.tif,2020-08-07,2020/08/07,38.6507682800293,0.0012266054682863136
2020-08-16,LC08_198024_20200816.tif,2020-08-16,2020/08/16,29.503936767578125,0.05586000870494203
2020-08-23,LC08_199024_20200823.tif,2020-08-23,2020/08/23,22.13885498046875,0.9811030216700299
2020-09-01,LC08_198024_20200901.tif,2020-09-01,2020/09/01,19.421857833862305,0.955337712182962
2020-09-17,LC08_198024_20200917.tif,2020-09-17,2020/09/17,22.56959342956543,0.03898429153642227
2020-09-24,LC08_199024_20200924.tif,2020-09-24,2020/09/24,17.79327392578125,0.0721455044250122
2020-10-10,LC08_199024_20201010.tif,2020-10-10,2020/10/10,12.587364196777344,0.5988967145438479
2020-10-19,LC08_198024_20201019.tif,2020-10-19,2020/10/19,,1.0
2020-10-26,LC08_199024_20201026.tif,2020-10-26,2020/10/26,11.814874649047852,0.5425421068597581
2020-11-11,LC08_199024_20201111.tif,2020-11-11,2020/11/11,,1.0
2020-11-20,LC08_198024_20201120.tif,2020-11-20,2020/11/20,7.407523155212402,0.7877642807211913
2020-12-06,LC08_198024_20201206.tif,2020-12-06,2020/12/06,,1.0
2021-01-07,LC08_198024_20210107.tif,2021-01-07,2021/01/07,,1.0
2021-01-23,LC08_198024_20210123.tif,2021-01-23,2021/01/23,,1.0
2021-02-24,LC08_198024_20210224.tif,2021-02-24,2021/02/24,16.228229522705078,0.06680383545021697
2021-03-03,LC08_199024_20210303.tif,2021-03-03,2021/03/03,13.392003059387207,0.02836030546432952
2021-03-19,LC08_199024_20210319.tif,2021-03-19,2021/03/19,11.106249809265137,0.482880280668434
2021-03-28,LC08_198024_20210328.tif,2021-03-28,2021/03/28,,1.0
2021-04-13,LC08_198024_20210413.tif,2021-04-13,2021/04/13,15.891825675964355,0.5448634247352246
2021-04-20,LC08_199024_20210420.tif,2021-04-20,2021/04/20,22.051620483398438,0.7022217386143315
2021-05-06,LC08_199024_20210506.tif,2021-05-06,2021/05/06,8.483803749084473,0.9733246283913003
